time,gFx,gFy,gFz,TgF
2.117330885,-0.2335,0.4954,0.7574,0.910
2.117862082,-0.2252,0.4917,0.7738,0.920
2.118978697,-0.2135,0.4910,0.7973,0.937
2.123736666,-0.2052,0.4971,0.8178,0.955
2.124118489,-0.1976,0.4993,0.8398,0.973
2.125914687,-0.1891,0.5054,0.8598,0.991
2.12803703,-0.1686,0.5111,0.8742,1.002
2.130596093,-0.1551,0.5162,0.8842,1.011
2.132898332,-0.1468,0.5181,0.9021,1.026
2.145489999,-0.1456,0.5169,0.9182,1.040
2.146558697,-0.1561,0.5098,0.9316,1.051
2.14718203,-0.1715,0.5030,0.9375,1.056
2.147741093,-0.1866,0.4988,0.9345,1.054
2.148081145,-0.1940,0.4957,0.9265,1.047
2.148442916,-0.1879,0.4969,0.9160,1.037
2.149888385,-0.1786,0.5020,0.9021,1.025
2.152273905,-0.1715,0.5091,0.8930,1.019
2.154789947,-0.1700,0.5147,0.8857,1.014
2.159359687,-0.1720,0.5235,0.8774,1.011
2.160993437,-0.1788,0.5277,0.8659,1.005
2.161691562,-0.1874,0.5296,0.8571,1.000
2.166860416,-0.1942,0.5230,0.8483,0.990
2.167562551,-0.2037,0.5162,0.8327,0.976
2.169162447,-0.2111,0.5086,0.8153,0.959
2.171888437,-0.2162,0.5015,0.8026,0.947
2.174351614,-0.2169,0.5047,0.7933,0.940
2.176203697,-0.2045,0.5118,0.7909,0.938
2.178617968,-0.1827,0.5203,0.7958,0.941
2.18078427,-0.1647,0.5321,0.8107,0.956
2.184446249,-0.1495,0.5411,0.8383,0.981
2.186813957,-0.1427,0.5487,0.8652,1.007
2.190700468,-0.1412,0.5531,0.8937,1.034
2.192324947,-0.1427,0.5540,0.9167,1.054
2.193213489,-0.1522,0.5567,0.9367,1.075
2.198120624,-0.1600,0.5543,0.9541,1.090
2.19923703,-0.1722,0.5545,0.9651,1.102
2.20050276,-0.1815,0.5565,0.9717,1.111
2.206324687,-0.1854,0.5631,0.9687,1.112
2.207371145,-0.1827,0.5675,0.9561,1.102
2.207943853,-0.1778,0.5734,0.9377,1.088
2.212404426,-0.1710,0.5787,0.9140,1.068
2.212916093,-0.1688,0.5814,0.8869,1.046
2.215090103,-0.1686,0.5795,0.8598,1.022
2.217544426,-0.1698,0.5780,0.8412,1.005
2.21986328,-0.1713,0.5746,0.8324,0.997
2.222956874,-0.1754,0.5726,0.8319,0.996
2.224211822,-0.1781,0.5704,0.8351,0.998
2.227173541,-0.1791,0.5721,0.8439,1.007
2.229046874,-0.1818,0.5719,0.8547,1.016
2.231218853,-0.1859,0.5746,0.8644,1.027
2.233697447,-0.1796,0.5787,0.8722,1.034
2.237343749,-0.1747,0.5826,0.8744,1.037
2.238584999,-0.1588,0.5936,0.8810,1.045
2.240914791,-0.1478,0.6056,0.8891,1.056
2.24379203,-0.1407,0.6173,0.8994,1.070
2.246228697,-0.1390,0.6281,0.9121,1.086
2.250043489,-0.1439,0.6364,0.9253,1.102
2.250848228,-0.1536,0.6437,0.9336,1.114
2.252914322,-0.1612,0.6464,0.9343,1.117
